symbol,mode,initial_balance_usd,risk_percent,candidate_trades,executed_trades,skipped_min_lot,skipped_margin,skipped_insolvent,final_balance_usd,return_percent,max_balance_drawdown_percent,trades_per_week,trades_per_month,mean_monthly_return_percent,geometric_monthly_return_percent,median_monthly_return_percent,positive_months,negative_months,flat_months,risk_budget_breaches,mean_executed_risk_budget_utilization_percent,tail_candidates,tail_executed,tail_skipped,ruined
US500_x100,margin_100,3000,5,688,677,9,2,0,7900.278938610397,163.3426312870132,77.42850187632285,4.865503080082136,21.15625,9.146212964985242,3.072138469994301,-3.3343102664555264,15,17,0,3,97.3405409886062,53,52,1,False
US500_x100,margin_50,500,1,688,0,688,0,0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,32,0,,53,0,53,False
US500_x100,margin_50,500,2,688,6,682,0,0,509.6074291888135,1.9214858377627042,5.303657495047144,0.043121149897330596,0.1875,0.06862051532808769,0.05949451659761351,0.0,3,2,27,0,90.48055080641446,53,1,52,False
US500_x100,margin_50,500,3,688,184,499,5,0,1152.8043727954646,130.56087455909292,39.96621809779637,1.322381930184805,5.75,3.2738928692889537,2.644823042571276,0.0,13,14,5,0,88.5241353149832,53,18,35,False
US500_x100,margin_50,500,4,688,205,459,24,0,406.5296859073633,-18.694062818527346,56.11683332863633,1.4733059548254621,6.40625,-0.06697914754393874,-0.6446355772023682,0.0,11,11,10,0,89.3688438877412,53,14,39,False
US500_x100,margin_50,500,5,688,120,494,74,0,382.6291115465265,-23.47417769069471,43.40956805428338,0.8624229979466119,3.75,-0.36723931483691413,-0.832583277612875,0.0,8,11,13,0,88.38551228388863,53,8,45,False
US500_x100,margin_50,1000,1,688,6,682,0,0,1009.6074291888135,0.9607429188813521,2.7492758760796194,0.043121149897330596,0.1875,0.032250971370002136,0.029884374878941244,0.0,3,2,27,0,91.86216937938659,53,1,52,False
US500_x100,margin_50,1000,2,688,489,199,0,0,3741.7865890083776,274.1786589008377,36.31898628917992,3.5143737166324436,15.28125,5.0989904655301235,4.209837622844126,3.997088292547286,19,12,1,2,90.04366873168541,53,42,11,False
US500_x100,margin_50,1000,3,688,590,92,6,0,3479.9063276895467,247.99063276895467,51.28210755303709,4.240246406570842,18.4375,5.928988196846289,3.97381660092746,0.9690431930004886,17,15,0,1,91.36987375579399,53,45,8,False
US500_x100,margin_50,1000,4,688,571,82,35,0,2577.013483782469,157.70134837824688,62.15785642905928,4.1036960985626285,17.84375,5.655777034002821,3.0024124565393384,-0.5614103137961056,16,16,0,1,92.20320757478305,53,42,11,False
US500_x100,margin_50,1000,5,688,286,313,89,0,400.1532776563563,-59.98467223436437,71.3498209020618,2.055441478439425,8.9375,-1.3274962996850928,-2.8216380364911364,0.0,9,12,11,0,90.34912799214626,53,18,35,False
US500_x100,margin_50,3000,1,688,548,140,0,0,5854.983327250381,95.16611090834604,18.213951378757905,3.938398357289528,17.125,2.3458784902109366,2.111613281275493,1.6296135122166076,19,13,0,2,90.43241803537025,53,46,7,False
US500_x100,margin_50,3000,2,688,670,18,0,0,8267.67427847059,175.5891426156863,38.27576635455037,4.815195071868583,20.9375,4.260284324048336,3.2186538312531265,0.7783736667996555,18,14,0,3,94.6494230906429,53,52,1,False
US500_x100,margin_50,3000,3,688,672,9,7,0,9254.022072909622,208.4674024303207,53.881159427841055,4.829568788501027,21.0,5.799893421433495,3.582834203791374,-0.4952385402710643,16,16,0,4,96.35780118017226,53,52,1,False
US500_x100,margin_50,3000,4,688,637,9,42,0,7226.758628038204,140.89195426794015,65.62168617393377,4.578028747433265,19.90625,5.978011366327271,2.78552221584325,-2.5765063959301537,13,19,0,2,96.74895539984847,53,48,5,False
US500_x100,margin_50,3000,5,688,564,16,108,0,1600.2169341099834,-46.65943552966721,77.53652898795026,4.053388090349076,17.625,1.369528504998292,-1.9448179748957073,-3.866776554317827,13,19,0,2,94.7644490580496,53,36,17,False
