year,equity_start,equity_end,pnl_usd,executed_trades,candidate_trades,return_percent,symbol,mode,initial_balance_usd,risk_percent
2024,1000.0,1194.5381230127796,194.53812301277935,255,265,19.453812301277964,US500_x100,risk_only,1000,4
2025,1194.5381230127796,2032.9037989607377,838.3656759479582,202,265,70.18324989356486,US500_x100,risk_only,1000,4
2026,2032.9037989607377,2746.2367238527067,713.332924891969,156,158,35.08935962718154,US500_x100,risk_only,1000,4
2024,1000.0,1093.197575582716,93.19757558271601,261,265,9.31975755827159,US500_x100,risk_only,1000,5
2025,1093.197575582716,2445.7111751871244,1352.5135996044082,221,265,123.72087441590485,US500_x100,risk_only,1000,5
2026,2445.7111751871244,2809.2997715809206,363.5885963937965,158,158,14.866375068428827,US500_x100,risk_only,1000,5
2024,3000.0,3717.1663124831557,717.1663124831557,229,265,23.905543749438518,US500_x100,risk_only,3000,1
2025,3717.1663124831557,4861.612853370448,1144.446540887292,188,265,30.788144642437977,US500_x100,risk_only,3000,1
2026,4861.612853370448,5854.983327250381,993.3704738799336,131,158,20.4329407511594,US500_x100,risk_only,3000,1
2024,3000.0,4136.557239415823,1136.5572394158226,264,265,37.88524131386075,US500_x100,risk_only,3000,2
2025,4136.557239415823,6514.829603187819,2378.2723637719964,248,265,57.49400349426479,US500_x100,risk_only,3000,2
2026,6514.829603187819,8267.674278470586,1752.8446752827679,158,158,26.90545696582869,US500_x100,risk_only,3000,2
2024,3000.0,4148.301084721311,1148.3010847213109,265,265,38.276702824043696,US500_x100,risk_only,3000,3
2025,4148.301084721311,7318.3974251702175,3170.0963404489066,256,265,76.41914788019488,US500_x100,risk_only,3000,3
2026,7318.3974251702175,9260.3562498692,1941.9588246989842,158,158,26.53530154047101,US500_x100,risk_only,3000,3
2024,3000.0,4097.453963907321,1097.4539639073218,265,265,36.581798796910704,US500_x100,risk_only,3000,4
2025,4097.453963907321,7838.420980595833,3740.967016688511,257,265,91.2997937168069,US500_x100,risk_only,3000,4
2026,7838.420980595833,9645.97172189762,1807.5507413017863,158,158,23.060138588835887,US500_x100,risk_only,3000,4
2024,3000.0,3610.420049087422,610.4200490874223,265,265,20.34733496958072,US500_x100,risk_only,3000,5
2025,3610.420049087422,7146.9954921398075,3536.5754430523843,256,265,97.9546810334797,US500_x100,risk_only,3000,5
2026,7146.9954921398075,8223.459190684658,1076.4636985448496,158,158,15.061765461147058,US500_x100,risk_only,3000,5
2024,500.0,500.0,0.0,0,265,0.0,US500_x100,margin_400,500,1
2025,500.0,500.0,0.0,0,265,0.0,US500_x100,margin_400,500,1
2026,500.0,500.0,0.0,0,158,0.0,US500_x100,margin_400,500,1
2024,500.0,509.6074291888135,9.607429188813512,6,265,1.9214858377627042,US500_x100,margin_400,500,2
2025,509.6074291888135,509.6074291888135,0.0,0,265,0.0,US500_x100,margin_400,500,2
2026,509.6074291888135,509.6074291888135,0.0,0,158,0.0,US500_x100,margin_400,500,2
2024,500.0,599.738853935236,99.73885393523591,117,265,19.94777078704719,US500_x100,margin_400,500,3
2025,599.738853935236,816.7832421898238,217.04438825458783,38,265,36.18981608919167,US500_x100,margin_400,500,3
2026,816.7832421898238,1140.0187526786249,323.23551048880114,39,158,39.574209385368356,US500_x100,margin_400,500,3
2024,500.0,964.43203182284,464.4320318228401,219,265,92.886406364568,US500_x100,margin_400,500,4
2025,964.43203182284,2318.1219819521157,1353.6899501292755,196,265,140.36136352405387,US500_x100,margin_400,500,4
2026,2318.1219819521157,3006.6866375527507,688.5646556006352,157,158,29.703555764601617,US500_x100,margin_400,500,4
2024,500.0,322.5363933758508,-177.46360662414918,167,265,-35.49272132482984,US500_x100,margin_400,500,5
2025,322.5363933758508,308.354761027349,-14.181632348501811,14,265,-4.396909198391141,US500_x100,margin_400,500,5
2026,308.354761027349,293.08476102734585,-15.270000000003165,1,158,-4.952088285949574,US500_x100,margin_400,500,5
2024,1000.0,1009.6074291888135,9.607429188813512,6,265,0.9607429188813521,US500_x100,margin_400,1000,1
2025,1009.6074291888135,1009.6074291888135,0.0,0,265,0.0,US500_x100,margin_400,1000,1
2026,1009.6074291888135,1009.6074291888135,0.0,0,158,0.0,US500_x100,margin_400,1000,1
2024,1000.0,1620.0733705667326,620.0733705667326,190,265,62.00733705667325,US500_x100,margin_400,1000,2
2025,1620.0733705667326,2603.0076690093456,982.934298442613,158,265,60.67220882093529,US500_x100,margin_400,1000,2
2026,2603.0076690093456,3741.7865890083776,1138.778919999032,141,158,43.74858105709804,US500_x100,margin_400,1000,2
2024,1000.0,1420.3654990704772,420.3654990704772,248,265,42.03654990704773,US500_x100,margin_400,1000,3
2025,1420.3654990704772,2587.459284939734,1167.0937858692569,199,265,82.16855356125112,US500_x100,margin_400,1000,3
2026,2587.459284939734,3639.911723367567,1052.452438427833,156,158,40.675130408954296,US500_x100,margin_400,1000,3
2024,1000.0,1194.5381230127796,194.53812301277935,255,265,19.453812301277964,US500_x100,margin_400,1000,4
2025,1194.5381230127796,2032.9037989607377,838.3656759479582,202,265,70.18324989356486,US500_x100,margin_400,1000,4
2026,2032.9037989607377,2746.2367238527067,713.332924891969,156,158,35.08935962718154,US500_x100,margin_400,1000,4
2024,1000.0,1093.197575582716,93.19757558271601,261,265,9.31975755827159,US500_x100,margin_400,1000,5
2025,1093.197575582716,2445.7111751871244,1352.5135996044082,221,265,123.72087441590485,US500_x100,margin_400,1000,5
2026,2445.7111751871244,2809.2997715809206,363.5885963937965,158,158,14.866375068428827,US500_x100,margin_400,1000,5
2024,3000.0,3717.1663124831557,717.1663124831557,229,265,23.905543749438518,US500_x100,margin_400,3000,1
2025,3717.1663124831557,4861.612853370448,1144.446540887292,188,265,30.788144642437977,US500_x100,margin_400,3000,1
2026,4861.612853370448,5854.983327250381,993.3704738799336,131,158,20.4329407511594,US500_x100,margin_400,3000,1
2024,3000.0,4136.557239415823,1136.5572394158226,264,265,37.88524131386075,US500_x100,margin_400,3000,2
2025,4136.557239415823,6514.829603187819,2378.2723637719964,248,265,57.49400349426479,US500_x100,margin_400,3000,2
2026,6514.829603187819,8267.674278470586,1752.8446752827679,158,158,26.90545696582869,US500_x100,margin_400,3000,2
2024,3000.0,4148.301084721311,1148.3010847213109,265,265,38.276702824043696,US500_x100,margin_400,3000,3
2025,4148.301084721311,7318.3974251702175,3170.0963404489066,256,265,76.41914788019488,US500_x100,margin_400,3000,3
2026,7318.3974251702175,9260.3562498692,1941.9588246989842,158,158,26.53530154047101,US500_x100,margin_400,3000,3
2024,3000.0,4097.453963907321,1097.4539639073218,265,265,36.581798796910704,US500_x100,margin_400,3000,4
2025,4097.453963907321,7838.420980595833,3740.967016688511,257,265,91.2997937168069,US500_x100,margin_400,3000,4
2026,7838.420980595833,9645.97172189762,1807.5507413017863,158,158,23.060138588835887,US500_x100,margin_400,3000,4
2024,3000.0,3610.420049087422,610.4200490874223,265,265,20.34733496958072,US500_x100,margin_400,3000,5
2025,3610.420049087422,7146.9954921398075,3536.5754430523843,256,265,97.9546810334797,US500_x100,margin_400,3000,5
2026,7146.9954921398075,8223.459190684658,1076.4636985448496,158,158,15.061765461147058,US500_x100,margin_400,3000,5
2024,500.0,500.0,0.0,0,265,0.0,US500_x100,margin_100,500,1
2025,500.0,500.0,0.0,0,265,0.0,US500_x100,margin_100,500,1
2026,500.0,500.0,0.0,0,158,0.0,US500_x100,margin_100,500,1
2024,500.0,509.6074291888135,9.607429188813512,6,265,1.9214858377627042,US500_x100,margin_100,500,2
2025,509.6074291888135,509.6074291888135,0.0,0,265,0.0,US500_x100,margin_100,500,2
2026,509.6074291888135,509.6074291888135,0.0,0,158,0.0,US500_x100,margin_100,500,2
2024,500.0,599.738853935236,99.73885393523591,117,265,19.94777078704719,US500_x100,margin_100,500,3
2025,599.738853935236,816.7832421898238,217.04438825458783,38,265,36.18981608919167,US500_x100,margin_100,500,3
2026,816.7832421898238,1140.0187526786249,323.23551048880114,39,158,39.574209385368356,US500_x100,margin_100,500,3
2024,500.0,964.43203182284,464.4320318228401,219,265,92.886406364568,US500_x100,margin_100,500,4
2025,964.43203182284,2318.1219819521157,1353.6899501292755,196,265,140.36136352405387,US500_x100,margin_100,500,4
2026,2318.1219819521157,3006.6866375527507,688.5646556006352,157,158,29.703555764601617,US500_x100,margin_100,500,4
2024,500.0,285.7275622173029,-214.27243778269712,161,265,-42.854487556539425,US500_x100,margin_100,500,5
2025,285.7275622173029,300.32569910677466,14.598136889471785,12,265,5.109110502391623,US500_x100,margin_100,500,5
2026,300.32569910677466,300.32569910677466,0.0,0,158,0.0,US500_x100,margin_100,500,5
