asset,cost,variant,month,net_r
sp500,stress,causal_euclidean,2024-02,-0.5353032371873427
sp500,stress,causal_euclidean,2024-03,-3.394817494885854
sp500,stress,causal_euclidean,2024-04,0.5924140138824766
sp500,stress,causal_euclidean,2024-05,-0.11254517008106957
sp500,stress,causal_euclidean,2024-06,21.525308003740406
sp500,stress,causal_euclidean,2024-07,-9.007795771257117
sp500,stress,causal_euclidean,2024-08,0.6996381599566341
sp500,stress,causal_euclidean,2024-09,-7.392240239647948
sp500,stress,causal_euclidean,2024-10,-4.337142861752316
sp500,stress,causal_euclidean,2024-11,2.9899858419542715
sp500,stress,causal_euclidean,2024-12,-9.783764609067534
sp500,stress,causal_euclidean,2025-01,6.036079060800549
sp500,stress,causal_euclidean,2025-02,-17.577524671991988
sp500,stress,causal_euclidean,2025-03,-3.8500250171453905
sp500,stress,causal_euclidean,2025-04,6.556231386356455
sp500,stress,causal_euclidean,2025-05,-0.6092598452679969
sp500,stress,causal_euclidean,2025-06,-5.328081753666037
sp500,stress,causal_euclidean,2025-07,3.7016689198637653
sp500,stress,causal_euclidean,2025-08,-1.0782967139002473
sp500,stress,causal_euclidean,2025-09,4.237220072715477
sp500,stress,causal_euclidean,2025-10,8.222603981189936
sp500,stress,causal_euclidean,2025-11,8.127704228258334
sp500,stress,causal_euclidean,2025-12,-4.429808430666638
sp500,stress,causal_euclidean,2026-01,1.8908622608665562
sp500,stress,causal_euclidean,2026-02,0.4156600595509299
sp500,stress,causal_euclidean,2026-03,1.77307869189233
sp500,stress,causal_euclidean,2026-04,20.679535664099774
sp500,stress,causal_euclidean,2026-05,-7.833211571012825
sp500,stress,causal_euclidean,2026-06,-9.929881386313596
sp500,stress,causal_euclidean,2026-07,-5.31702802405915
sp500,stress,causal_euclidean,2026-08,4.577631307900098
sp500,stress,simple_momentum4,2024-01,12.357450021729274
sp500,stress,simple_momentum4,2024-02,-4.161667104789873
sp500,stress,simple_momentum4,2024-03,2.237094292735722
sp500,stress,simple_momentum4,2024-04,4.943391863902476
sp500,stress,simple_momentum4,2024-05,-4.5521169632141785
sp500,stress,simple_momentum4,2024-06,4.456301320650532
sp500,stress,simple_momentum4,2024-07,-5.611966129746646
sp500,stress,simple_momentum4,2024-08,-12.786024268445454
sp500,stress,simple_momentum4,2024-09,-19.324178224196483
sp500,stress,simple_momentum4,2024-10,-10.214568706422718
sp500,stress,simple_momentum4,2024-11,5.804857405725656
sp500,stress,simple_momentum4,2024-12,6.797941196405665
sp500,stress,simple_momentum4,2025-01,5.969498065170908
sp500,stress,simple_momentum4,2025-02,-17.77906544516487
sp500,stress,simple_momentum4,2025-03,-3.164476054048412
sp500,stress,simple_momentum4,2025-04,-1.54379150890718
sp500,stress,simple_momentum4,2025-05,7.9471641642558275
sp500,stress,simple_momentum4,2025-06,-6.037991864178823
sp500,stress,simple_momentum4,2025-07,2.4025626710371575
sp500,stress,simple_momentum4,2025-08,4.773882638147054
sp500,stress,simple_momentum4,2025-09,-1.490066591281266
sp500,stress,simple_momentum4,2025-10,4.948057511164987
sp500,stress,simple_momentum4,2025-11,2.0163230450875904
sp500,stress,simple_momentum4,2025-12,0.8447138157490219
sp500,stress,simple_momentum4,2026-01,-10.035849680683262
sp500,stress,simple_momentum4,2026-02,3.762336190870232
sp500,stress,simple_momentum4,2026-03,1.0494231471482438
sp500,stress,simple_momentum4,2026-04,7.464364287463823
sp500,stress,simple_momentum4,2026-05,-1.2639041694067976
sp500,stress,simple_momentum4,2026-06,-11.563748587741864
sp500,stress,simple_momentum4,2026-07,-12.183674065239444
sp500,stress,simple_momentum4,2026-08,-6.675809925648157
sp500,stress,filter_only_kernel,2024-01,10.357450021729134
sp500,stress,filter_only_kernel,2024-02,-4.034068417960924
sp500,stress,filter_only_kernel,2024-03,-1.25923616119346
sp500,stress,filter_only_kernel,2024-04,6.931638970595486
sp500,stress,filter_only_kernel,2024-05,-5.230273531914275
sp500,stress,filter_only_kernel,2024-06,4.206219169804491
sp500,stress,filter_only_kernel,2024-07,-7.138647875413312
sp500,stress,filter_only_kernel,2024-08,-14.786024268445571
sp500,stress,filter_only_kernel,2024-09,-14.939276927768418
sp500,stress,filter_only_kernel,2024-10,-7.3406701918624435
sp500,stress,filter_only_kernel,2024-11,1.9933186984631985
sp500,stress,filter_only_kernel,2024-12,4.775637379488417
sp500,stress,filter_only_kernel,2025-01,8.425379683051656
sp500,stress,filter_only_kernel,2025-02,-17.77906544516487
sp500,stress,filter_only_kernel,2025-03,-4.164476054048431
sp500,stress,filter_only_kernel,2025-04,-0.5437915089071748
sp500,stress,filter_only_kernel,2025-05,4.1015599360938655
sp500,stress,filter_only_kernel,2025-06,0.6181815557068424
sp500,stress,filter_only_kernel,2025-07,2.0895921924671446
sp500,stress,filter_only_kernel,2025-08,4.773882638147054
sp500,stress,filter_only_kernel,2025-09,-0.6570096789221986
sp500,stress,filter_only_kernel,2025-10,7.127810192618362
sp500,stress,filter_only_kernel,2025-11,0.2144617092771588
sp500,stress,filter_only_kernel,2025-12,4.202132523061561
sp500,stress,filter_only_kernel,2026-01,-9.751972429418398
sp500,stress,filter_only_kernel,2026-02,4.762336190870277
sp500,stress,filter_only_kernel,2026-03,2.049423147148262
sp500,stress,filter_only_kernel,2026-04,8.464364287463859
sp500,stress,filter_only_kernel,2026-05,-2.9066988967347163
sp500,stress,filter_only_kernel,2026-06,-13.67572193549081
sp500,stress,filter_only_kernel,2026-07,-19.43348312481822
sp500,stress,filter_only_kernel,2026-08,-6.675809925648157
xauusd,base,causal_lorentzian,2024-01,-8.754811649200436
xauusd,base,causal_lorentzian,2024-02,-6.640060747400558
xauusd,base,causal_lorentzian,2024-03,-0.6481217070936447
xauusd,base,causal_lorentzian,2024-04,-5.786218054539702
xauusd,base,causal_lorentzian,2024-05,-0.41470942103053765
xauusd,base,causal_lorentzian,2024-06,-2.8868826883764145
xauusd,base,causal_lorentzian,2024-07,5.05719693332163
xauusd,base,causal_lorentzian,2024-08,-4.077954731366791
xauusd,base,causal_lorentzian,2024-09,-11.940343549224972
xauusd,base,causal_lorentzian,2024-10,11.165973523828079
xauusd,base,causal_lorentzian,2024-11,13.895740364630305
xauusd,base,causal_lorentzian,2024-12,-4.534656979865434
xauusd,base,causal_lorentzian,2025-01,-4.778720047794928
xauusd,base,causal_lorentzian,2025-02,-7.458879301952172
xauusd,base,causal_lorentzian,2025-03,-6.468475053092093
xauusd,base,causal_lorentzian,2025-04,4.868781205990267
