month,pnl_usd,executed_trades,candidate_trades,equity_end,equity_start,return_percent,asset,timeframe,initial_balance_usd,risk_percent
2026-04,0.0,0,26,777.4616512765026,777.4616512765026,0.0,xauusd,30min,1000,1
2026-05,0.0,0,24,777.4616512765026,777.4616512765026,0.0,xauusd,30min,1000,1
2026-06,0.0,0,18,777.4616512765026,777.4616512765026,0.0,xauusd,30min,1000,1
2026-07,0.0,0,25,777.4616512765026,777.4616512765026,0.0,xauusd,30min,1000,1
2026-08,0.0,0,31,777.4616512765026,777.4616512765026,0.0,xauusd,30min,1000,1
2024-01,-145.07343454729332,34,34,854.9265654527067,1000.0,-14.507343454729332,xauusd,30min,1000,2
2024-02,-97.49089688051507,22,22,757.4356685721916,854.9265654527067,-11.403423500928527,xauusd,30min,1000,2
2024-03,-21.038915964469915,22,22,736.3967526077217,757.4356685721916,-2.7776505434619208,xauusd,30min,1000,2
2024-04,-69.96848172745636,25,25,666.4282708802652,736.3967526077217,-9.501465273941607,xauusd,30min,1000,2
2024-05,-6.0930396443819195,24,24,660.3352312358834,666.4282708802652,-0.9142828884395623,xauusd,30min,1000,2
2024-06,-35.724485290044754,23,23,624.6107459458386,660.3352312358834,-5.410052894373485,xauusd,30min,1000,2
2024-07,41.1306550548308,21,21,665.7414010006694,624.6107459458386,6.5850059932201885,xauusd,30min,1000,2
2024-08,-44.53309305611367,18,18,621.2083079445558,665.7414010006694,-6.689247955614058,xauusd,30min,1000,2
2024-09,-108.60954102552625,29,29,512.5987669190295,621.2083079445558,-17.483594413746943,xauusd,30min,1000,2
2024-10,74.3444054318304,22,22,586.9431723508599,512.5987669190295,14.503430407895207,xauusd,30min,1000,2
2024-11,169.19931829897806,21,21,756.142490649838,586.9431723508599,28.82720615375605,xauusd,30min,1000,2
2024-12,-59.71509620463156,24,24,696.4273944452063,756.142490649838,-7.897333762226705,xauusd,30min,1000,2
2025-01,-44.84396396612597,35,35,651.5834304790804,696.4273944452063,-6.439144169773783,xauusd,30min,1000,2
2025-02,-69.20282258280079,21,21,582.3806078962797,651.5834304790804,-10.620715528619108,xauusd,30min,1000,2
2025-03,-40.95866116764436,19,19,541.4219467286352,582.3806078962797,-7.032971327049918,xauusd,30min,1000,2
2025-04,5.3761229579983265,12,25,546.7980696866337,541.4219467286352,0.9929636193142499,xauusd,30min,1000,2
