asset,cost,model,month,net_r
sp500,base,logistic,2026-03,5.966054184249923
sp500,base,logistic,2026-04,5.451783122571241
sp500,base,logistic,2026-05,-2.0000000000001186
sp500,base,logistic,2026-06,-1.6218912674046777
sp500,base,logistic,2026-07,-1.717541931129846
sp500,base,logistic,2026-08,-1.8941781336965677
sp500,base,prior,2024-01,0.0
sp500,base,prior,2024-02,0.0
sp500,base,prior,2024-03,0.0
sp500,base,prior,2024-04,0.0
sp500,base,prior,2024-05,0.0
sp500,base,prior,2024-06,0.0
sp500,base,prior,2024-07,0.0
sp500,base,prior,2024-08,0.0
sp500,base,prior,2024-09,0.0
sp500,base,prior,2024-10,0.0
sp500,base,prior,2024-11,0.0
sp500,base,prior,2024-12,0.0
sp500,base,prior,2025-01,0.0
sp500,base,prior,2025-02,0.0
sp500,base,prior,2025-03,0.0
sp500,base,prior,2025-04,-0.6788745204793444
sp500,base,prior,2025-05,1.9536826572469352
sp500,base,prior,2025-06,0.0
sp500,base,prior,2025-07,0.0
sp500,base,prior,2025-08,0.0
sp500,base,prior,2025-09,0.0
sp500,base,prior,2025-10,0.0
sp500,base,prior,2025-11,0.0
sp500,base,prior,2025-12,0.0
sp500,base,prior,2026-01,0.0
sp500,base,prior,2026-02,0.0
sp500,base,prior,2026-03,-1.0000000000000502
sp500,base,prior,2026-04,4.883186079522059
sp500,base,prior,2026-05,0.0
sp500,base,prior,2026-06,0.0
sp500,base,prior,2026-07,0.0
sp500,base,prior,2026-08,0.0
sp500,stress,lorentzian,2024-01,3.5959916603836324
sp500,stress,lorentzian,2024-02,1.2406018869679272
sp500,stress,lorentzian,2024-03,-4.591821182738375
sp500,stress,lorentzian,2024-04,-2.183131512261667
sp500,stress,lorentzian,2024-05,2.3391876245746976
sp500,stress,lorentzian,2024-06,18.821237927915906
sp500,stress,lorentzian,2024-07,-10.592135131047453
sp500,stress,lorentzian,2024-08,3.784299288085001
sp500,stress,lorentzian,2024-09,-0.38304855527096493
sp500,stress,lorentzian,2024-10,1.714448467489996
sp500,stress,lorentzian,2024-11,-2.0096836493952135
sp500,stress,lorentzian,2024-12,-5.049577196550558
sp500,stress,lorentzian,2025-01,-0.5716097642513018
sp500,stress,lorentzian,2025-02,-7.018107688071337
sp500,stress,lorentzian,2025-03,-4.76592557547381
sp500,stress,lorentzian,2025-04,8.685188324839658
sp500,stress,lorentzian,2025-05,0.12704230442684206
sp500,stress,lorentzian,2025-06,-9.966899381700365
sp500,stress,lorentzian,2025-07,15.16812187831503
sp500,stress,lorentzian,2025-08,-2.08399877271652
sp500,stress,lorentzian,2025-09,7.6052773005205605
sp500,stress,lorentzian,2025-10,4.933168808732249
sp500,stress,lorentzian,2025-11,10.249389995219651
sp500,stress,lorentzian,2025-12,-0.42605108051573715
sp500,stress,lorentzian,2026-01,-5.057352672162224
sp500,stress,lorentzian,2026-02,3.7705417763224918
sp500,stress,lorentzian,2026-03,3.8872696339543666
sp500,stress,lorentzian,2026-04,17.829222075673847
sp500,stress,lorentzian,2026-05,-9.427667721447413
sp500,stress,lorentzian,2026-06,-5.556288694662851
sp500,stress,lorentzian,2026-07,-9.635623457672315
sp500,stress,lorentzian,2026-08,7.375105867861446
sp500,stress,logistic,2024-01,-1.3100421889725569
sp500,stress,logistic,2024-02,-2.671422916136667
sp500,stress,logistic,2024-03,-0.7340666304512091
sp500,stress,logistic,2024-04,0.32407727268259534
sp500,stress,logistic,2024-05,4.002336953111115
sp500,stress,logistic,2024-06,-1.0000000000001572
sp500,stress,logistic,2024-07,-2.6378654419943564
sp500,stress,logistic,2024-08,0.17099341572690663
