asset,variant,month,net_bps,trades,year
sp500,filter_only_kernel,2026-03,10.262031651626984,7,2026
sp500,filter_only_kernel,2026-04,-81.37489923096393,2,2026
sp500,filter_only_kernel,2026-05,34.149078939929794,4,2026
sp500,filter_only_kernel,2026-06,135.3381141383746,6,2026
sp500,filter_only_kernel,2026-07,-128.681912961349,4,2026
sp500,filter_only_kernel,2026-08,39.89525859183151,2,2026
xauusd,official_original,2024-01,0.0,0,2024
xauusd,official_original,2024-02,0.0,0,2024
xauusd,official_original,2024-03,0.0,0,2024
xauusd,official_original,2024-04,0.0,0,2024
xauusd,official_original,2024-05,0.0,0,2024
xauusd,official_original,2024-06,0.0,0,2024
xauusd,official_original,2024-07,0.0,0,2024
xauusd,official_original,2024-08,0.0,0,2024
xauusd,official_original,2024-09,0.0,0,2024
xauusd,official_original,2024-10,0.0,0,2024
xauusd,official_original,2024-11,0.0,0,2024
xauusd,official_original,2024-12,0.0,0,2024
xauusd,official_original,2025-01,0.0,0,2025
xauusd,official_original,2025-02,0.0,0,2025
xauusd,official_original,2025-03,0.0,0,2025
xauusd,official_original,2025-04,0.0,0,2025
xauusd,official_original,2025-05,0.0,0,2025
xauusd,official_original,2025-06,104.97256429430281,4,2025
xauusd,official_original,2025-07,55.94972286393785,4,2025
xauusd,official_original,2025-08,63.637064726157945,3,2025
xauusd,official_original,2025-09,171.9158514545186,4,2025
xauusd,official_original,2025-10,242.66190193460432,5,2025
xauusd,official_original,2025-11,143.84412076372288,3,2025
xauusd,official_original,2025-12,87.96273968230497,3,2025
xauusd,official_original,2026-01,90.3369590390492,1,2026
xauusd,official_original,2026-02,59.08834134871381,1,2026
xauusd,official_original,2026-03,-19.658165298817266,4,2026
xauusd,official_original,2026-04,-188.73139175407343,4,2026
xauusd,official_original,2026-05,218.8801746543652,6,2026
xauusd,official_original,2026-06,-64.27617601102344,5,2026
xauusd,official_original,2026-07,-41.249077916345726,8,2026
xauusd,official_original,2026-08,382.2699833489138,4,2026
xauusd,causal_lorentzian,2024-01,77.37842420826972,2,2024
xauusd,causal_lorentzian,2024-02,3.0121880526183915,3,2024
xauusd,causal_lorentzian,2024-03,83.89243671750978,2,2024
xauusd,causal_lorentzian,2024-04,82.41988531801402,1,2024
xauusd,causal_lorentzian,2024-05,115.70108821880774,2,2024
xauusd,causal_lorentzian,2024-06,-146.81578787260506,2,2024
xauusd,causal_lorentzian,2024-07,178.12769094327962,2,2024
xauusd,causal_lorentzian,2024-08,63.51742541417006,2,2024
xauusd,causal_lorentzian,2024-09,-55.734968360369464,6,2024
xauusd,causal_lorentzian,2024-10,47.44678861657279,4,2024
xauusd,causal_lorentzian,2024-11,8.936780075225897,4,2024
xauusd,causal_lorentzian,2024-12,-87.21163170688631,5,2024
xauusd,causal_lorentzian,2025-01,270.4916186491852,9,2025
xauusd,causal_lorentzian,2025-02,-101.80131177554378,3,2025
xauusd,causal_lorentzian,2025-03,199.51809111838645,4,2025
xauusd,causal_lorentzian,2025-04,72.88431938781895,4,2025
xauusd,causal_lorentzian,2025-05,-30.805708666589872,6,2025
xauusd,causal_lorentzian,2025-06,-12.191873384108913,4,2025
xauusd,causal_lorentzian,2025-07,-345.98997149616196,6,2025
xauusd,causal_lorentzian,2025-08,51.568560239131955,3,2025
xauusd,causal_lorentzian,2025-09,109.2700973994734,3,2025
xauusd,causal_lorentzian,2025-10,186.50873460481725,3,2025
xauusd,causal_lorentzian,2025-11,-47.11464099925426,3,2025
xauusd,causal_lorentzian,2025-12,30.41425225369646,3,2025
xauusd,causal_lorentzian,2026-01,254.77862684217703,4,2026
xauusd,causal_lorentzian,2026-02,-254.35465144968094,2,2026
xauusd,causal_lorentzian,2026-03,-131.72755624860852,1,2026
xauusd,causal_lorentzian,2026-04,-23.82604999056855,3,2026
