asset,timeframe,scope,variant,month,net_bps,trades,year
sp500,30min,full_history,causal_lorentzian,2024-05,-21.782991096858638,21,2024
sp500,30min,full_history,causal_lorentzian,2024-06,54.182889579305325,21,2024
sp500,30min,full_history,causal_lorentzian,2024-07,-179.70317576527222,35,2024
sp500,30min,full_history,causal_lorentzian,2024-08,129.77284652548425,27,2024
sp500,30min,full_history,causal_lorentzian,2024-09,-91.8777172638961,17,2024
sp500,30min,full_history,causal_lorentzian,2024-10,20.59701397878966,22,2024
sp500,30min,full_history,causal_lorentzian,2024-11,8.122834906340492,17,2024
sp500,30min,full_history,causal_lorentzian,2024-12,-72.41518901383199,16,2024
sp500,30min,full_history,causal_lorentzian,2025-01,213.16197732878277,16,2025
sp500,30min,full_history,causal_lorentzian,2025-02,-20.63785513890261,18,2025
sp500,30min,full_history,causal_lorentzian,2025-03,-205.01148839203256,32,2025
sp500,30min,full_history,causal_lorentzian,2025-04,420.33850779682774,22,2025
sp500,30min,full_history,causal_lorentzian,2025-05,13.723199198459128,20,2025
sp500,30min,full_history,causal_lorentzian,2025-06,-13.45138874883052,27,2025
sp500,30min,full_history,causal_lorentzian,2025-07,37.50697928086151,20,2025
sp500,30min,full_history,causal_lorentzian,2025-08,-137.42168408365853,25,2025
sp500,30min,full_history,causal_lorentzian,2025-09,-10.199089598251852,20,2025
sp500,30min,full_history,causal_lorentzian,2025-10,0.2751275014727099,24,2025
sp500,30min,full_history,causal_lorentzian,2025-11,262.25881127879603,17,2025
sp500,30min,full_history,causal_lorentzian,2025-12,-60.19514337638558,25,2025
sp500,30min,full_history,causal_lorentzian,2026-01,-168.86927330129802,22,2026
sp500,30min,full_history,causal_lorentzian,2026-02,155.0833283197149,16,2026
sp500,30min,full_history,causal_lorentzian,2026-03,-66.98997188138644,22,2026
sp500,30min,full_history,causal_lorentzian,2026-04,81.37354285826314,23,2026
sp500,30min,full_history,causal_lorentzian,2026-05,-21.48526394246056,23,2026
sp500,30min,full_history,causal_lorentzian,2026-06,-61.25933590697933,14,2026
sp500,30min,full_history,causal_lorentzian,2026-07,-65.30197922307167,23,2026
sp500,30min,full_history,causal_lorentzian,2026-08,100.83004961119983,19,2026
sp500,30min,full_history,causal_euclidean,2024-01,-207.43292431032953,28,2024
