asset,policy,cost,year,direction,regime,trades,trades_per_week,total_r,mean_r,median_r,win_rate,profit_factor,max_drawdown_r,total_r_ex_top10
sp500,baseline,base,2025,1,bull,90,0.6468172484599589,20.688309517178695,0.22987010574642994,-1.0000000000000053,0.45555555555555555,1.422024124911775,16.31221254641579,-20.226356370661506
sp500,baseline,base,2025,1,mixed,8,0.057494866529774126,5.149633755287898,0.6437042194109872,0.5166244504910876,0.625,2.7165445850959324,2.0000000000000258,0.0
sp500,baseline,base,2026,-1,bear,3,0.021560574948665298,3.896986676054299,1.2989955586847663,0.9324460923414893,0.6666666666666666,4.8969866760543,1.0,0.0
sp500,baseline,base,2026,-1,bull,81,0.582135523613963,7.923834516650155,0.09782511748950809,-1.0000000000000082,0.37037037037037035,1.1553693042480369,16.162915625893625,-31.77280688916926
sp500,baseline,base,2026,-1,mixed,4,0.028747433264887063,-0.1429248768196596,-0.0357312192049149,-0.4211310664974699,0.5,0.9285375615901739,1.0000000000000695,0.0
sp500,baseline,base,2026,1,bear,2,0.014373716632443531,0.9744643501243866,0.4872321750621933,0.4872321750621933,0.5,1.9744643501243775,1.0000000000000093,0.0
sp500,baseline,base,2026,1,bull,62,0.4455852156057495,-3.5901744134225835,-0.0579060389261707,-1.0000000000000147,0.3225806451612903,0.9149211854421696,17.206824050761977,-36.92685324554662
sp500,baseline,base,2026,1,mixed,6,0.043121149897330596,8.614315246233705,1.4357192077056176,-1.0000000000000142,0.3333333333333333,3.1535788115583627,2.0000000000000817,0.0
sp500,long_only,base,2024,1,bull,122,0.8767967145790555,43.4337680042263,0.3560144918379205,-1.0000000000000038,0.47540983606557374,1.6784400974267577,9.531274891430431,-9.083062707364913
sp500,long_only,base,2025,1,bear,18,0.1293634496919918,0.05940582655347448,0.0033003236974152492,-0.8598327908847839,0.4444444444444444,1.00611192083243,4.000000000000215,-8.000000000000378
sp500,long_only,base,2025,1,bull,90,0.6468172484599589,20.688309517178695,0.22987010574642994,-1.0000000000000053,0.45555555555555555,1.422024124911775,16.31221254641579,-20.226356370661506
sp500,long_only,base,2025,1,mixed,8,0.057494866529774126,5.149633755287898,0.6437042194109872,0.5166244504910876,0.625,2.7165445850959324,2.0000000000000258,0.0
sp500,long_only,base,2026,1,bear,2,0.014373716632443531,0.9744643501243866,0.4872321750621933,0.4872321750621933,0.5,1.9744643501243775,1.0000000000000093,0.0
sp500,long_only,base,2026,1,bull,62,0.4455852156057495,-3.5901744134225835,-0.0579060389261707,-1.0000000000000147,0.3225806451612903,0.9149211854421696,17.206824050761977,-36.92685324554662
sp500,long_only,base,2026,1,mixed,6,0.043121149897330596,8.614315246233705,1.4357192077056176,-1.0000000000000142,0.3333333333333333,3.1535788115583627,2.0000000000000817,0.0
sp500,short_only,base,2024,-1,bull,143,1.0277207392197125,-19.97913045946131,-0.13971419901721197,-1.0000000000000344,0.2937062937062937,0.801456137269686,29.841722940336222,-69.4830475895628
