asset,policy,cost,month,net_r
xauusd,long_only,stress,2025-04,1.6812243433084135
xauusd,long_only,stress,2025-05,4.9489679983765
xauusd,long_only,stress,2025-06,-5.191987554973374
xauusd,long_only,stress,2025-07,4.382018287447892
xauusd,long_only,stress,2025-08,10.972239300298549
xauusd,long_only,stress,2025-09,1.773670169825484
xauusd,long_only,stress,2025-10,4.539846198490351
xauusd,long_only,stress,2025-11,6.993725347261938
xauusd,long_only,stress,2025-12,-9.636920511802927
xauusd,long_only,stress,2026-01,4.551042848122524
xauusd,long_only,stress,2026-02,-1.390583306186821
xauusd,long_only,stress,2026-03,-1.2264820606005375
xauusd,long_only,stress,2026-04,-6.944604078672114
xauusd,long_only,stress,2026-05,2.141931970680515
xauusd,long_only,stress,2026-06,-1.6015905128296686
xauusd,long_only,stress,2026-07,6.794044445015999
xauusd,long_only,stress,2026-08,0.7083562078696548
xauusd,short_only,stress,2024-01,-5.883208386816463
xauusd,short_only,stress,2024-02,-7.997838556064765
xauusd,short_only,stress,2024-03,-6.593861224088221
xauusd,short_only,stress,2024-04,-6.867250104941013
xauusd,short_only,stress,2024-05,-0.5172346100536085
xauusd,short_only,stress,2024-06,-4.32067034944532
xauusd,short_only,stress,2024-07,4.017242902080175
xauusd,short_only,stress,2024-08,-4.186023358652749
xauusd,short_only,stress,2024-09,-12.521225308093156
xauusd,short_only,stress,2024-10,-8.000000000000318
xauusd,short_only,stress,2024-11,13.034192610074836
xauusd,short_only,stress,2024-12,-2.7793250699343193
xauusd,short_only,stress,2025-01,-2.877264165108455
xauusd,short_only,stress,2025-02,-11.06941741642134
xauusd,short_only,stress,2025-03,-6.674228051799959
xauusd,short_only,stress,2025-04,2.7717498048022455
xauusd,short_only,stress,2025-05,0.5795524362921891
xauusd,short_only,stress,2025-06,-6.640539157781249
xauusd,short_only,stress,2025-07,-7.096804599052284
xauusd,short_only,stress,2025-08,0.5671294927454618
xauusd,short_only,stress,2025-09,1.7707582489097984
xauusd,short_only,stress,2025-10,3.318985598208779
